code,cpv_descr
33311001,sheep s milk
33312002,goats milk
33320007,wool and animal hair
33321008,shorn wool
33322009,animal hair
33330004,fresh cows milk
33400006,animal ear tags
33410003,bovine ear tags
34000004,forestry and logging products
34100007,wood
34110004,coniferous wood
34120001,tropical wood
34130008,fuel wood
34140005,rough wood
34150002,softwood
34160009,wood waste
34170006,scrap wood
34171007,sawdust
34180003,logs
34181004,hardwood
34190000,timber
34191001,timber products
34192002,mining timber
34200000,gums
34210007,balsams
34220004,lac
34300003,cork
34310000,natural cork
34320007,basketware
34321008,wickerwork
34400006,forestry products
34410003,ornamental plants grasses mosses or lichens
34500009,tree nursery products
34510006,plants
34511007,bedding plants
34512008,flower bulbs
34513009,shrubs
34520003,trees
34600002,pulp
34610009,wood pulp
34611000,chemical wood pulp
90000003,petroleum products fuel electricity and other sources of energy
91000000,fuels
91100003,solid fuels
91110000,coal and coal based fuels
91111001,coal
91112002,coal based fuels
91112105,hard coal
91112208,briquettes
91113003,fossil fuels
91114004,wood fuels
91120007,lignite and peat
91121008,lignite
91122009,peat
91130004,coke
91200006,gaseous fuels
91210003,coal gas mains gas or similar gases
91211004,coal gas or similar gases
91212005,mains gas
91220000,propane and butane
91221001,propane gas
91221104,liquefied propane gas
91222002,butane gas
91222105,liquefied butane gas
91230007,natural gas
91300009,petroleum and distillates
91310006,aviation kerosene
91311007,kerosene jet type fuels
91320003,petrol
91321004,unleaded petrol
91322005,leaded petrol
91323006,petrol with ethanol
91330000,liquefied petroleum gas lpg
91340007,gas oils
91341008,diesel oil
91342009,diesel fuel
91342102,diesel fuel 0 2
91342205,diesel fuel en 590
91342308,biodiesel
91342315,biodiesel b20
91342322,biodiesel b100
91350004,fuel oils
91351005,heating oil
91351108,low sulphur combustible oils
92000001,petroleum coal and oil products
92100004,lubricating preparations
92110001,lubricating oils and lubricating agents
92111002,motor oils
92112003,compressor lube oils
92113004,turbine lube oils
92114005,gear oils
92115006,reductor oils
92116007,oils for use in hydraulic systems and other purposes
92116100,liquids for hydraulic purposes
92116203,mould release oils
92116306,anti corrosion oils
92116409,electrical insulating oils
92116502,brake fluids
92117008,white oils and liquid paraffin
92117101,white oils
92117204,liquid paraffin
92118009,petroleum oils and preparations
92118102,light oils
92118205,petroleum oils
92119000,lubricating traction oils
92200007,petroleum jelly waxes and special spirits
92210004,petroleum jelly and waxes
92211005,petroleum jelly
92212006,paraffin wax
92213007,petroleum wax
92214008,petroleum residues
92220001,special spirits
92221002,white spirit
92300000,petroleum crude
92400003,oil and coal related products
92410000,bituminous or oil shale
92420007,coal related products
92421008,coal oil
93000002,electricity heating solar and nuclear energy
93100005,electricity
93200008,steam hot water and associated products
93210005,hot water
93220002,steam
93230009,district heating
93240006,long distance heating
93300001,solar energy
93310008,solar panels
93311009,solar collectors for heat production
93312000,solar photovoltaic modules
93320005,solar installation
93400004,nuclear fuels
93410001,uranium
93420008,plutonium
93430005,radioactive materials
93440002,radio isotopes
140000001,mining basic metals and related products
142000003,sand and clay
142100006,gravel sand crushed stone and aggregates
142110003,sand
142111004,natural sand
142120000,granules chippings stone powder pebbles gravel broken and crushed stone stone mixtures sand gravel mixtures and other aggregates
142121001,pebbles and gravel
142121104,pebbles
142121207,gravel
142122002,aggregates
142122105,sand gravel mix
142123003,broken and crushed stone
142123106,ballast
142123209,crushed granite
142123302,crushed basalt
142124004,soil
142124107,topsoil
142124200,subsoil
142124303,stone chippings
142130007,macadam tarmac and tar sands
142131008,macadam
142132009,tarmac
142133000,tar sands
142200009,clay and kaolin
142210006,clay
142220003,kaolin
143000004,chemical and fertiliser minerals
143100007,fertiliser minerals
143110004,natural calcium aluminium calcium phosphate and crude natural potassium salts
143111005,natural calcium
143112006,aluminium calcium phosphates
143113007,crude natural potassium salts
143120001,iron pyrites
143121002,unroasted iron pyrites
143200000,chemical minerals
144000005,salt and pure sodium chloride
144100008,rock salt
144200001,sea salt
144300004,evaporated salt and pure sodium chloride
144500000,salt in brine
145000006,related mining and quarrying products
145200002,precious and semi precious stones pumice stone emery natural abrasives other minerals and precious metals
145210009,precious and semi precious stones
145211000,precious stones
145211402,dust or powder of precious stones
145212001,semi precious stones
145212104,dust or powder of semi precious stones
145220006,industrial diamonds pumice stone emery and other natural abrasives
145221007,pumice stone
145222008,industrial diamonds
145223009,emery
145224000,natural abrasives
145230003,related minerals precious metals and associated products
145231004,minerals
145232005,gold
145233006,silver
145234007,platinum
146000007,metal ores and alloys
146100000,metal ores
146110007,iron ores
146120004,non ferrous metal ores
146121005,copper ores
146122006,nickel ores
146123007,aluminium ores
146124008,precious metal ores
146125009,lead ores
146126000,zinc ores
146127001,tin ores
146130001,uranium and thorium ores
146131002,uranium ores
146132003,thorium ores
146140008,miscellaneous ores
146200003,alloys
146210000,ferro alloys
146211001,non ecsc ferro alloys
146211104,ferro manganese
146211207,ferro chromium
146211300,ferro nickel
146220007,steel
146300006,slag dross ferrous waste and scrap
147000008,basic metals
147100001,iron lead zinc tin and copper
147110008,iron
147111009,pig iron
147120005,lead
147130002,zinc
147140009,tin
147150006,copper
147200004,aluminium nickel scandium titanium and vanadium
147210001,aluminium
147211002,aluminium oxide
147220008,nickel
147230005,scandium
147240002,titanium
147250009,vanadium
147300007,chromium manganese cobalt yttrium and zirconium
147310004,chromium
147320001,manganese
147330008,cobalt
147340005,yttrium
147350002,zirconium
147400000,molybdenum technetium ruthenium and rhodium
147410007,molybdenum
147420004,technetium
147430001,ruthenium
147440008,rhodium
147500003,cadmium lutetium hafnium tantalum and tungsten
147510000,cadmium
147520007,lutetium
147530004,hafnium
147540001,tantalum
147550008,tungsten
147600006,iridium gallium indium thallium and barium
147610003,iridium
147620000,gallium
147630007,indium
147640004,thallium
147650001,barium
147700009,caesium strontium rubidium and calcium
147710006,caesium
147720003,strontium
147730000,rubidium
147740007,calcium
147800002,potassium magnesium sodium and lithium
147810009,potassium
147820006,magnesium
147830003,sodium
147840000,lithium
147900005,niobium osmium rhenium and palladium
147910002,niobium
147920009,osmium
147930006,rhenium
147940003,palladium
148000009,miscellaneous non metallic mineral products
148100002,abrasive products
148110009,millstones grindstones and grinding wheels
148111000,millstones
148112001,grindstones
148113002,grinding wheels
148120006,abrasive powder or grain
148130003,artificial corundum
148140000,artificial graphite
148200005,glass
148300008,fibreglass
149000000,recovered secondary raw materials
149100003,recovered secondary metal raw materials
149200006,recovered secondary non metal raw materials
149300009,ash and residues containing metals
150000008,food beverages tobacco and related products
151000009,animal products meat and meat products
151100002,meat
151110009,bovine meat
151111000,beef
151112001,veal
151120006,poultry
151121007,fresh poultry
151121100,geese
151121203,turkeys
151121306,chickens
151121409,ducks
151123009,poultry livers
151123102,foie gras
151130003,pork
151140000,offal
151150007,lamb and mutton
151151008,lamb
151152009,mutton
151170001,goat meat
151180008,horse ass mule or hinny meat
151181009,horsemeat
151189007,ass mule or hinny meat
151190005,various meats
151191006,rabbit meat
151192007,hare meat
151193008,game
151194009,frogs legs
151195000,pigeons
151196001,fish meat
151300008,meat products
151310005,meat preserves and preparations
151311006,sausage meat products
151311109,sausage meat
151311202,sausage products
151311305,sausages
151311343,black pudding and other blood sausages
151311350,poultry sausages
151312007,dried salted smoked or seasoned meat
151312100,gammon
151312203,bacon
151312306,salami
151313008,liver preparations
151313101,pâté
151313204,preparations of goose or duck liver
151314009,pork products
151314102,ham
151314205,meatballs
151314906,prepared pork dishes
151315000,poultry products
151316001,beef and veal products
151316104,beef meatballs
151316207,minced beef
151316403,beefburgers
151317002,meat preparations
152000000,prepared and preserved fish
152100003,fish fillets fish livers and roe
152110000,fish fillets
152111001,fresh fish fillets
152120007,fish roe
152130004,fish livers
152200006,frozen fish fish fillets and other fish meat
152210003,frozen fish
152290009,frozen fish products
152300009,dried or salted fish fish in brine smoked fish
152310006,dried fish
152320003,salted fish
152330000,fish in brine
152340007,smoked fish
152350004,preserved fish
152400002,canned or tinned fish and other prepared or preserved fish
152410009,coated canned or tinned fish
152411000,canned salmon
152412001,prepared or preserved herring
152413002,sardines
152414003,canned tuna
152415004,mackerel
152416005,anchovies
152417006,fish fingers
152418007,coated fish preparations
152420006,prepared fish dishes
152430003,preparations of fish
152440000,caviar and fish eggs
152441001,caviar
152442002,fish eggs
152500005,seafood
152510002,frozen crustaceans
152520009,prepared or preserved crustaceans
152530006,shellfish products
153000001,fruit vegetables and related products
153100004,potatoes and potato products
153110001,frozen potatoes
153111002,chips or french fries
153112003,diced sliced and other frozen potatoes
153120008,potato products
153121009,instant mashed potatoes
153122000,part fried potato chips
153123001,potato crisps
153123104,flavoured potato crisps
153124002,potato snacks
153125003,potato croquettes
153130005,processed potatoes
153200007,fruit and vegetable juices
153210004,fruit juices
153211005,orange juice
153212006,grapefruit juice
153213007,lemon juice
153214008,pineapple juice
153215009,grape juice
153216000,apple juice
153217001,mixtures of unconcentrated juices
153218002,concentrated juices
153220001,vegetable juices
153221002,tomato juice
153300000,processed fruit and vegetables
153310007,processed vegetables
153311008,fresh or frozen vegetables
153311101,processed root vegetables
153311204,processed tuber vegetables
153311307,beans peas peppers tomatoes and other vegetables
153311314,processed beans
153311321,processed peas
153311338,split peas
153311345,processed tomatoes
153311352,processed mushrooms
153311369,processed peppers
153311376,soybean sprouts
153311383,truffles
153311400,leaf and cabbage vegetables
153311424,processed cabbage
153311503,processed pulses
153311709,frozen vegetables
153314001,preserved and or canned vegetables
153314104,beans in tomato sauce
153314111,baked beans
153314207,preserved tomatoes
153314238,canned tomatoes
153314252,tomato purée
153314276,concentrated tomato purée
153314283,tomato sauce
153314300,canned mushrooms
153314506,processed olives
153314609,canned vegetables
153314616,canned sauerkraut
153314623,canned peas
153314630,canned shelled beans
153314647,canned whole beans
153314654,canned asparagus
153314661,canned olives
153314702,sweet corn
153314805,provisionally preserved vegetables
153315002,vegetables preserved in vinegar
153320004,processed fruit and nuts
153321005,processed fruit
153321407,processed apples
153321500,processed pears
153321603,processed bananas
153321706,rhubarb
153321809,melons
153322006,jams and marmalades fruit jellies fruit or nut purée and pastes
153322305,marmalades
153322312,orange marmalade
153322329,lemon marmalade
153322408,fruit jellies
153322501,fruit pastes
153322604,nut pastes
153322611,peanut butter
153322707,fruit purées
153322903,jams
153322910,apricot jam
153322927,blackberry jam
153322934,blackcurrant jam
153322941,cherry jam
153322958,raspberry jam
153322965,strawberry jam
153323007,processed nuts
153323100,roasted or salted nuts
153324008,preserved fruits
153324101,dried fruit
153324118,processed currants
153324125,processed raisins
153324194,sultanas
153330001,vegetable by products
154000002,animal or vegetable oils and fats
154100005,crude animal or vegetable oils and fats
154110002,animal or vegetable oils
154111003,vegetable oils
154111106,olive oil
154111209,sesame oil
154111302,groundnut oil
154111405,coconut oil
154112004,cooking oil
154112107,frying oil
154120009,fats
154121000,animal fats
154122001,vegetable fats
154130006,solid residues of vegetable fats or oils
154131007,oilcake
154200008,refined oils and fats
154210005,refined oils
154220002,refined fats
154230009,hydrogenated or esterified oils or fats
154240006,vegetable waxes
154300001,edible fats
154310008,margarine and similar preparations
154311009,margarine
154311102,liquid margarine
154312000,reduced or low fat spreads
155000003,dairy products
155100006,milk and cream
155110003,milk
155111004,pasteurised milk
155112005,sterilised milk
155112108,uht milk
155113006,skimmed milk
155114007,semi skimmed milk
155115008,full cream milk
155116009,condensed milk
155117000,milk powder
155120000,cream
155121001,single cream
155122002,double cream
155123003,clotted cream
155129009,whipping cream
155300002,butter
155400005,cheese products
155410002,table cheese
155420009,fresh cheese
155421000,cottage cheese
155422001,soft cheese
155423002,feta cheese
155430006,grated powdered blue veined and other cheese
155431007,blue cheese
155432008,cheddar cheese
155433009,grated cheese
155434000,parmesan cheese
155440003,hard cheese
155450000,cheese spreads
155500008,assorted dairy products
155510005,yoghurt and other fermented milk products
155513008,yoghurt
155513101,unflavoured yoghurt
155513204,flavoured yoghurt
155515000,buttermilk
155520002,casein
155530009,lactose or lactose syrup
155540006,whey
155550003,ice cream and similar products
155551004,ice cream
155552005,sorbet
156000004,grain mill products starches and starch products
156100007,grain mill products
156110004,husked rice
156120001,cereal or vegetable flour and related products
156121002,wheat flour
156121105,wholemeal flour
156121208,breadmaking flour
156121301,plain flour
156121507,pastry flour
156121909,self raising flour
156122003,cereal flour
156122106,corn flour
156122209,rice flour
156123004,vegetable flour and meal
156124005,mixes for the preparation of baker s wares
156124108,cake mixes
156124201,baking mixes
156125006,bakery products
156130008,cereal grain products
156131009,ground oats
156133001,cereal products
156133104,prepared breakfast cereals
156133111,cornflakes
156133135,muesli or equivalent
156133197,puffed wheat
156133805,rolled oats
156140005,processed rice
156141006,long grain rice
156142007,milled rice
156143008,broken rice
156150002,bran
156200000,starches and starch products
156210007,corn oil
156220004,glucose and glucose products fructose and fructose products
156221005,glucose and glucose products
156221108,glucose
156221201,glucose syrup
156223007,fructose and fructose products
156223100,fructose
156223203,fructose preparations
156223210,fructose solutions
156223227,fructose syrup
156230001,starches
156240008,tapioca
156250005,semolina
156260002,custard powder
157000005,animal feedstuffs
157100008,prepared animal feeds for farm and other animals
157110005,fish food
157120002,dry fodder
157130009,pet food
158000006,miscellaneous food products
158100009,bread products fresh pastry goods and cakes
158110006,bread products
158111007,bread
158112008,rolls
158113009,croissants
158114000,crumpets
158115001,prepared bread products
158115104,sandwiches
158115111,prepared sandwiches
158120003,pastry goods and cakes
158121004,pastry goods
158121200,pies
158121217,savoury pies
158121224,sweet pies
158122005,cakes
158130000,morning goods
158200002,rusks and biscuits preserved pastry goods and cakes
158210009,toasted bread products and pastry goods
158211000,toasted bread products
158211103,toasted bread
158211309,crispbread
158211505,rusks
158212001,sweet biscuits
158300005,sugar and related products
158310002,sugar
158312004,white sugar
158313005,maple sugar and maple syrup
158314006,molasses
158315007,sugar syrups
158316008,honey
158320009,sugar manufacture waste
158330006,sugar products
158331007,desserts
158331100,flans
158400008,cocoa chocolate and sugar confectionery
158410005,cocoa
158411006,cocoa paste
158412007,cocoa butter fat or oil
158413008,unsweetened cocoa powder
158414009,sweetened cocoa powder
158420002,chocolate and sugar confectionery
158421003,chocolate
158422004,chocolate products
158422107,drinking chocolate
158422200,chocolate bars
158423005,confectionery
158423108,boiled sweets
158423201,nougat
158424006,fruit nuts or fruit peel preserved by sugar
158500001,pasta products
158510008,farinaceous products
158511009,uncooked pasta
158512000,prepared pasta and couscous
158512103,prepared pasta
158512206,stuffed pasta
158512309,lasagne
158512505,couscous
158512907,canned pasta
158600004,coffee tea and related products
158610001,coffee
158611002,roasted coffee
158612003,decaffeinated coffee
158620008,coffee substitutes
158630005,tea
158631006,green tea
158632007,black tea
158640002,preparations of tea or maté
158641003,teabags
158650009,herbal infusions
158700007,condiments and seasonings
158710004,vinegar sauces mixed condiments mustard flour and meal prepared mustard
158711005,vinegar and vinegar substitutes
158711108,vinegar or equivalent
158712006,sauces mixed condiments and mixed seasonings
158712109,soya sauce
158712305,tomato ketchup
158712501,mustard
158712604,sauces
158712707,mixed condiments
158712738,mayonnaise
158712745,sandwich spreads
158712790,chutney
158720001,herbs and spices
158721002,pepper
158722003,spices
158723004,herbs
158724005,salt
158725006,ginger
158800000,special nutritional products
158810007,homogenised food preparations
158820004,dietetic products
158840008,baby food
158900003,miscellaneous food products and dried goods
158910000,soups and broths
158911001,meat soups
158912002,fish soups
158913003,mixed soups
158914004,soups
158914107,soup mixes
158915005,broths
158916006,stocks
158916109,mixes for stocks
158919009,vegetable soups
158920007,vegetable saps extracts peptic substances and thickeners
158921008,vegetable saps
158922009,vegetable extracts
158924001,thickeners
158930004,dry goods
158931005,food mixes
158932006,dessert mixes
158933007,gravy mixes
158940001,processed food products
158941002,vegan packs
158942003,prepared meals
158942106,school meals
158942209,hospital meals
158943004,prepared dishes
158944005,snacks
158945006,vending machine ingredients
158946007,sandwich fillings
158947008,delicatessen
158950008,fast food products
158951009,hamburgers
158960005,deep frozen products
158970002,canned goods and field rations
158971003,field rations
158972004,canned goods
158973005,food parcels
158980009,yeast
158990006,baking powder
159000007,beverages tobacco and related products
159100000,distilled alcoholic beverages
159110007,spirituous beverages
159111008,spirits
159112009,liqueurs
159300006,wines
159310003,unflavoured wines
159311004,sparkling wine
159312005,table wine
159313006,port
159314007,madeira
159315008,grape must
159316009,sherry
159320000,wine lees
159400009,cider and other fruit wines
159410006,cider
159420003,fruit wines
159500002,non distilled fermented beverages
159510009,vermouth
159600005,malt beer
159610002,beer
159611003,lager
159620009,brewing or distilling dregs
159800001,non alcoholic beverages
159810008,mineral water
159811009,still mineral water
159812000,sparkling mineral water
159813001,water in solid form
159813104,ice
159813207,snow
159814002,flavoured mineral waters
159820005,soft drinks
159821006,fruit squashes
159822007,chocolate milk
159900004,tobacco tobacco goods and supplies
159910001,tobacco goods
159911002,cigars
159912003,cigarillos
159913004,cigarettes
159920008,tobacco
159921009,manufactured tobacco
159930005,tobacconist supplies
159940002,cigarette paper and filter paper
159941003,cigarette paper
159942004,filter paper
160000005,agricultural machinery
161000006,agricultural and forestry machinery for soil preparation or cultivation
161100009,ploughs or disc harrows
161200002,harrows scarifiers cultivators weeders or hoes
161300005,seeders planters or transplanters
161400008,manure spreaders
161410005,fertiliser distributors
161500001,lawn or sports ground rollers
161600004,miscellaneous gardening equipment
163000008,harvesting machinery
163100001,mowers
163110008,lawnmowers
163111009,lawn park or sports ground mowers
163200004,haymaking machinery
163300007,straw or fodder balers
163310004,pick up balers
163400000,harvesting and threshing machinery
164000009,spraying machinery for agriculture or horticulture
165000000,self loading or unloading trailers and semi trailers for agriculture
165100003,self loading trailers for agriculture
165200006,unloading trailers for agriculture
165300009,self loading semi trailers for agriculture
165400002,unloading semi trailers for agriculture
166000001,specialist agricultural or forestry machinery
166100004,machines for cleaning sorting or grading eggs fruit or other produce
166110001,machines for cleaning produce
166111002,machines for cleaning eggs
166112003,machines for cleaning fruit
166120008,machines for sorting or grading produce
166121009,machines for sorting or grading eggs
166122000,machines for sorting or grading fruit
166130005,machines for cleaning sorting or grading seed grain or dried vegetables
166200007,milking machines
166300000,machinery for preparing animal feeding stuffs
166400003,bee keeping machinery
166500006,poultry keeping machinery
166510003,poultry incubators and brooders
167000002,tractors
167100005,pedestrian controlled agricultural tractors
167200008,used tractors
167300001,traction motors
168000003,parts of agricultural and forestry machinery
168100006,parts of agricultural machinery
168200009,parts of forestry machinery
180000009,clothing footwear luggage articles and accessories
181000000,occupational clothing special workwear and accessories
181100003,occupational clothing
181130004,industrial clothing
181140001,coveralls
181300009,special workwear
181320003,flying clothing
181321004,flight jackets
181322005,flight suits
181400002,workwear accessories
181410009,work gloves
181420006,safety visors
181430003,protective gear
182000001,outerwear
182100004,coats
182110001,capes
182120008,cloaks
182130005,wind jackets
182200007,weatherproof clothing
182210004,waterproof clothing
182211005,waterproof capes
182212006,anoraks
182213007,raincoats
182220001,corporate clothing
182221002,suits
182222003,ensembles
182230008,jackets and blazers
182231009,blazers
182232000,jackets
182240005,clothing made of coated or impregnated textile fabrics
182300000,miscellaneous outerwear
182310007,dresses
182320004,skirts
182330001,shorts
182340008,trousers
182350005,pullovers cardigans and similar articles
182351006,pullovers
182352007,cardigans
182353008,sweatshirts
182354009,waistcoats
183000002,garments
183100005,underwear
183110002,slips
183120009,underpants
183130006,panties
183140003,bathrobes
183150000,stockings
183160007,tights
183170004,socks
183180001,nightwear
183181002,nightshirts
183182003,dressing gowns
183183004,pyjamas
183184005,vests
183185006,nightdresses
183200008,brassieres corsets suspenders and similar articles
183210005,brassieres
183220002,corsets
183230009,suspenders
183300001,t shirts and shirts
183310008,t shirts
183320005,shirts
183330002,polo shirts
184000003,special clothing and accessories
184100006,special clothing
184110003,baby clothing
184120000,sportswear
184121001,tracksuits
184122002,sports shirts
184123003,ski suits
184128008,swimwear
184200009,clothing accessories
184210006,handkerchiefs
184220003,scarves
184230000,ties
184240007,gloves
184243000,disposable gloves
184244001,mittens
184245002,gauntlets
184250004,belts
184251005,bandoliers
184400005,hats and headgear
184410002,hats
184430006,headgear and headgear accessories
184431007,headbands
184433009,headgear
184433102,berets
184433205,field caps
184433308,hoods
184433401,caps
184434000,chin straps for headgear
184435001,visors
184440003,protective headgear
184441004,safety headgear
184441107,helmets
184441114,crash helmets
184441121,bicycle helmets
184442005,hard hats
184500008,fasteners clothing
184510005,buttons
184511006,parts of buttons
184520002,safety pins
184530009,zip fasteners
185000004,jewellery watches and related articles
185100007,jewellery and related articles
185110004,precious stone for jewellery
185111005,diamonds
185112006,rubies
185113007,emeralds
185114008,opal stone
185115009,quartz stone
185116000,tourmaline stone
185120001,coins and medals
185121002,coins
185122003,medals
185130008,articles of jewellery
185131009,pearls
185132000,goldsmiths wares
185133001,articles of precious metal
185134002,articles of precious or semi precious stones
185135003,silversmiths wares
185200000,personal horology
185210007,watches
185211008,glass for watches
185220004,wristwatches
185230001,stopwatches
185300003,presents and rewards
186000005,furs and articles of fur
186100008,fur articles
186110005,fur skins
186120002,fur clothing
186130009,artificial fur articles
186200001,furs
188000007,footwear
188100000,footwear other than sports and protective footwear
188110007,waterproof footwear
188120004,footwear with rubber or plastic parts
188121005,sandals with uppers of rubber or plastics
188122006,rubber boots
188123007,town footwear with rubber or plastic uppers
188124008,flip flops
188130001,footwear with uppers of leather
188131002,sandals
188132003,slippers
188133004,town footwear
188140008,footwear with uppers of textile materials
188150005,boots
188151006,ankle boots
188152007,calf boots
188153008,knee boots
188154009,waders
188160002,galoshes
188200003,sports footwear
188210000,ski footwear
188211001,cross country ski footwear
188220007,training shoes
188230004,climbing boots
188240001,football boots
188300006,protective footwear
188310003,footwear incorporating a protective metal toecap
188320000,special footwear
188321001,flying footwear
188400009,parts of footwear
188410006,footwear uppers
188420003,soles
188430000,heels
189000008,luggage saddlery sacks and bags
189100001,saddlery
189110008,saddles
189120005,riding crops
189130002,whips
189200004,luggage
189210001,suitcases
189230005,pouches and wallets
189231006,pouches
189232007,wallets
189240002,trunks
189250009,water bottle holders and holsters
189251000,water bottle holders
189252001,holsters
189290007,toilet cases
189300007,sacks and bags
189310004,travel bags
189311005,rucksacks
189320001,sports bags
189330008,mail or parcel bags
189331009,post pouches
189340005,kitbags
189350002,laundry bags
189360009,textile bags
189370006,goods packing sacks
189371007,goods packing bags
189380003,padded bags
189390000,handbags
190000006,leather and textile fabrics plastic and rubber materials
191000007,leather
191100000,chamois leather
191200003,leather of bovine or equine animals
191300006,leather of sheep goats or pigs
191310003,sheep or lamb skin leather
191320000,goat or kid skin leather
191330007,pig leather
191400009,leather of other animals composite leather and other leather
191410006,leather of other animals
191420003,composite leather
191430000,imitation leather
191440007,patent leather
191600005,watch straps
191700008,leather articles used in machinery or mechanical appliances
192000008,textile fabrics and related items
192100001,woven fabrics
192110008,synthetic woven fabrics
192111009,mixed woven fabrics
192120005,woven fabrics of cotton
192121006,ticking
192122007,denim
192123008,canvas
192123101,canvas items
192124009,poplin
192125000,webbing
192125103,webbing straps
192200004,woollen fabrics
192300007,linen fabrics
192310004,linen
192400000,special fabrics
192410007,pile
192420004,terry towelling
192430001,upholstery fabrics
192440008,curtain fabrics
192450005,lining fabrics
192500003,knitted or crocheted fabrics
192510000,knitted fabrics
192511001,pile fabrics
192520007,crocheted fabrics
192600006,cloth
192700009,non woven fabrics
192800002,animal wool hides and skins
192810009,wool
192820006,animal skins
192830003,bird skins and feathers
194000000,textile yarn and thread
194100003,natural textile fibres
194200006,artificial textile fibres
194300009,textile yarn and thread of natural fibres
194310006,silk yarn
194320003,wool yarn
194330000,cotton yarn
194340007,flax yarn
194350004,sewing thread and yarn of natural fibres
194351005,sewing thread
194352006,knitting yarn
194360001,vegetable textile fibre yarn
194400002,synthetic yarn or thread
194410009,synthetic yarn
194420006,synthetic thread
194421007,synthetic sewing thread
194422008,synthetic knitting yarn
195000001,rubber and plastic materials
195100004,rubber products
195110001,rubber inner tubes treads and flaps
195111002,tyre flaps
195112003,inner tubes
195113004,tyre treads
195120008,unvulcanised rubber articles
195130005,rubberised textile fabrics
